Code,Updated name,E1,E2,E3,P,Total reports,FES,References
1,Abortiporus biennis,0,0,1,0,1,E3,"(Hongo & Izawa, 1994)"
2,Afroboletus costatisporus,2,0,1,0,3,E1,"(Piearce, 1981; Rammeloo & Walleyn, 1993; Thoen & Ba, 1989)"
3,Afroboletus luteolus,4,0,0,0,4,E1,"(Buyck, 1994b; Härkönen, Niemelä, & Mwasumbi, 2003; Rammeloo & Walleyn, 1993; Uaciquete, Dai, & Motta, 1996)"
4,Afrocantharellus platyphyllus,5,0,0,0,5,E1,"(Buyck, 1994b; De-Kesel, Codjia, & Yorou, 2002; Degreef, Malaisse, Rammeloo, & Baudart, 1997; Härkönen, Saarimäki, & Mwasumbi, 1994a)"
5,Afrocantharellus splendens,1,0,0,0,1,E1,"(Buyck, 1994b)"
6,Afrocantharellus symoensii,5,0,0,0,5,E1,"(Boa, Ngulube, Meke, & Munthali, 2000; Buyck, 1994b; Degreef, Malaisse, Rammeloo, & Baudart, 1997; Härkönen, Saarimäki, & Mwasumbi, 1994a; Uaciquete, Dai, & Motta, 1996)"
7,Afrocastellanoa ivoryana,1,0,0,0,1,E1,"(De-Kesel, Codjia, & Yorou, 2002)"
8,Agaricus abruptibulbus,2,0,0,1,3,E2,"(Pelkonen, Alfthan, & Järvinen, 2006; Wu et al., 2019)"
9,Agaricus albolutescens,1,0,0,0,1,E1,"(Arora, 1991)"
10,Agaricus altipes,2,0,0,0,2,E1,"(Mao, 2000; Wu, et al., 2019)"
11,Agaricus amboensis,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
12,Agaricus amicosus,0,0,1,0,1,E3,"(Arora, 1991)"
13,Agaricus argentinus,0,0,1,0,1,E3,"(Putzke, 2014)"
14,Agaricus argyropotamicus,4,0,0,0,4,E1,"(Garza-Ocañas, 2019; Mao, 2000; Putzke, 2014; Wu, et al., 2019)"
15,Agaricus arvensis,27,0,2,1,30,E2,"(Arora, 1991; Barros et al., 2007; Cooke, 1891; Dai, Yang, Cui, Yu, & Zhou, 2009; Denchev, 2002; Diamandis, 2002; Gennari, 2000; Gerhardt, 1994; Gerhardt, 2001; Härkönen, Niemelä, & Mwasumbi, 2003; Hobbs, 1995; Hongo & Izawa, 1994; Imazeki, Hongo, & Otani, 2011; Iordanov, Vanev, & Fakirova, 1978; Laessoe & del-Conte, 1996; Lincoff & Mitchel, 1977; Locsmándi-Vasas, 1995; Mao, 2000; Martínez, Oria-de-Rueda, & Martínez, 1997; Phongeun, Somsanith, & Thaviphone, 2017; Sergeeva, 2000; Villarreal & Perez-Moreno, 1989a; Vishwakarma, Bhatt, & Joshi, 2012; Zerova & Rozhenko, 1988; Zervakis, 2003)"
16,Agaricus augustus,15,0,0,0,15,E1,"(Arora, 1991; Das, 2009; Gardezi, 1993; Gennari, 2000; Gerhardt, 1994; Laessoe & del-Conte, 1996; Legg, 1991; Locsmándi-Vasas, 1995; Mao, 2000; Villarreal & Perez-Moreno, 1989a; Vishwakarma, Bhatt, & Joshi, 2012; Wu, et al., 2019)"
17,Agaricus balchaschensis,1,0,0,0,1,E1,"(Wu, et al., 2019)"
18,Agaricus benesii,5,0,0,0,5,E1,"(Mao, 2000; MycoWeb, 2020; Wu, et al., 2019)"
19,Agaricus bernardii,4,0,0,0,4,E1,"(Arora, 1991; Gennari, 2000; MycoWeb, 2020; Wu, et al., 2019)"
20,Agaricus bingensis,2,0,0,0,2,E1,"(Härkönen, Niemelä, & Mwasumbi, 2003; Rammeloo & Walleyn, 1993)"
21,Agaricus bisporus,20,0,1,0,21,E1,"(Afyon, 1997; Denchev, 2002; Doyungan, 1990; Gennari, 2000; Gerhardt, 2001; Hobbs, 1995; Hongo & Izawa, 1994; Laessoe & del-Conte, 1996; Locsmándi-Vasas, 1995; Mao, 2000; MycoWeb, 2020; Nanaguylan, 2002; Villarreal & Perez-Moreno, 1989a; Walter, 2001; Wu, et al., 2019; Yilmaz, Oder, & Isiloglu, 1997; Yorou, De-Kesel, Sinsin, & Codjia, 2002; Zerova & Rozhenko, 1988)"
22,Agaricus bitorquis,22,0,1,0,23,E1,"(Adhikari, 1999; Apshahana & Sharma, 2018; Arora, 1991; Boa, 2004; Demirbas, 2000; Gennari, 2000; Gerhardt, 1994; Gerhardt, 2001; Laessoe & del-Conte, 1996; Locsmándi-Vasas, 1995; Mao, 2000; MycoWeb, 2020; Sergeeva, 2000; Villarreal & Perez-Moreno, 1989a; Wu, et al., 2019; Yongabi, Agho, & Martínez-Carrera, 2004; Zerova & Rozhenko, 1988)"
23,Agaricus blazei,3,0,0,0,3,E1,"(Huang, 1994; Mao, 2000; Wu, et al., 2019)"
24,Agaricus bohusii,1,0,0,0,1,E1,"(Cooke, 1891)"
25,Agaricus bresadolanus,2,0,0,0,2,E1,"(Mao, 2000; Wu, et al., 2019)"
26,Agaricus bulbillosus,1,0,0,0,1,E1,"(De-Kesel, Codjia, & Yorou, 2002)"
27,Agaricus campestris,48,0,2,0,50,E1,"(Adhikari, 1999; Afyon, 1997; Arora, 1991; Cooke, 1891; Dai, et al., 2009; Demirel, Kaya, & Uzun, 2003; Denchev, 2002; Diamandis, 2002; Flores, 2002; Gamiet, 2003; Gardezi, 1993; Gennari, 2000; Gerhardt, 1994; Gerhardt, 2001; Hobbs, 1995; Hongo & Izawa, 1994; Iordanov, Vanev, & Fakirova, 1978; Laessoe & del-Conte, 1996; Locsmándi-Vasas, 1995; Mao, 2000; Martins, 2004; Mendoza, 1938; Ministry of Forestry, 2020; Nanaguylan, 2002; Purkayastha & Chandra, 1985; Rammeloo & Walleyn, 1993; Sabra & Walter, 2001; Salam & Jamir, 2018; Secretariat of Environment and Natural Resources, 2020; Sergeeva, 2000; Vasil'eva, 1978; Villarreal & Perez-Moreno, 1989a; Vishwakarma, Bhatt, & Joshi, 2012; Yilmaz, Oder, & Isiloglu, 1997; Yongabi, Agho, & Martínez-Carrera, 2004; Zakhary, Abo-Bakr, El-Mahdy, & El-Tabery, 1983)"
28,Agaricus cappellianus,1,0,0,0,1,E1,"(Wu, et al., 2019)"
29,Agaricus comtulus,6,0,0,0,6,E1,"(Wu et al., 2019; Chang & Mao 1995; Mao, 2000; Doyungan 1990; Mendoza 1938)"
30,Agaricus croceolutescens,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
31,Agaricus crocodilinus,1,0,0,0,1,E1,"(Arora, 1991)"
32,Agaricus crocopeplus,1,0,0,0,1,E1,"(Wu, et al., 2019)"
33,Agaricus cupreobrunneus,3,0,0,0,3,E1,"(Arora, 1991; Gennari, 2000; MycoWeb, 2020)"
34,Agaricus depauperatus,1,0,0,0,1,E1,"(Ruan-Soto, et al., 2013)"
35,Agaricus desjardinii,1,0,0,0,1,E1,"(Wu, et al., 2019)"
36,Agaricus devoniensis,2,0,1,0,3,E1,"(Gennari, 2000; Mao, 2000; Wu, et al., 2019)"
37,Agaricus diminutivus,1,0,0,0,1,E1,"(Seok, Jin, Kwon, Kim, & Kim, 2013)"
38,Agaricus dulcidulus,4,0,1,0,5,E1,"(Mao, 2000; Seok, Jin, Kwon, Kim, & Kim, 2013; Wu, et al., 2019)"
39,Agaricus edulis,1,0,0,0,1,E1,"(Wu, et al., 2019)"
